101年度綜稅所得總額各縣市鄉鎮村里統計分析表-縣市別：苗栗縣,單位：金額(千元)
鄉鎮市區,村里,納稅單位,綜合所得總額,平均數,中位數,第一分位數,第三分位數,標準差,變異係數
造橋鄉,朝陽村,456,305141,669,534,355,870,535.59,80.04
造橋鄉,談文村,234,152945,654,498,326,798,669.82,102.48
造橋鄉,龍昇村,272,177980,654,524,314,813,514.3,78.6
造橋鄉,其　他,0,0,0,0,0,0,0,0
造橋鄉,合　計,3718,2595031,698,555,354,888,839.79,120.32
後龍鎮,南龍里,432,295025,683,545,344,831,616.7,90.3
後龍鎮,中龍里,285,214331,752,573,341,913,657.72,87.46
後龍鎮,北龍里,446,285915,641,485,270,816,568.59,88.69
後龍鎮,大庄里,1336,979762,733,542,321,914,901.67,122.95
後龍鎮,溪洲里,635,433282,682,514,334,835,601.44,88.14
後龍鎮,豐富里,389,265017,681,515,335,883,531.54,78.02
後龍鎮,校椅里,266,190392,716,571,351,954,549.82,76.82
後龍鎮,埔頂里,839,592285,706,540,350,883,805.62,114.12
後龍鎮,新民里,424,290834,686,541,344,875,504.6,73.56
後龍鎮,復興里,184,114083,620,511,301,763,492.82,79.48
後龍鎮,東明里,436,300848,690,530,324,885,629.56,91.24
後龍鎮,灣寶里,351,231316,659,500,325,820,548.02,83.16
後龍鎮,海寶里,241,158187,656,530,304,810,552.47,84.17
後龍鎮,大山里,431,313624,728,517,338,873,769.93,105.81
後龍鎮,外埔里,262,179594,685,487,288,883,824.87,120.34
後龍鎮,海埔里,236,132914,563,497,315,701,365.89,64.97
後龍鎮,秀水里,159,102859,647,494,289,774,614.94,95.06
後龍鎮,水尾里,256,145381,568,449,265,741,452.14,79.62
後龍鎮,龍津里,153,94437,617,476,289,818,481.85,78.07
後龍鎮,龍坑里,353,251843,713,522,339,846,763.46,107.01
後龍鎮,福寧里,194,132830,685,509,338,821,578.61,84.51
後龍鎮,中和里,262,150410,574,488,309,767,394.85,68.78
後龍鎮,南港里,342,208920,611,493,322,786,509.97,83.48
後龍鎮,其　他,4,2950,737,719,674,782,94.24,12.78
後龍鎮,合　計,8916,6067037,680,521,323,851,670.95,98.6
三灣鄉,三灣村,696,460429,662,532,318,867,497.29,75.17
三灣鄉,內灣村,196,127228,649,531,328,834,532.29,82
三灣鄉,銅鏡村,265,222346,839,565,315,940,998.65,119.02
三灣鄉,頂寮村,62,38716,624,503,333,726,475.61,76.16
三灣鄉,北埔村,135,78225,579,481,285,750,459.4,79.28
三灣鄉,大河村,123,81847,665,485,295,833,599.87,90.15
三灣鄉,大坪村,125,89899,719,601,353,947,514.39,71.52
三灣鄉,永和村,82,52123,636,507,286,763,636.61,100.15
三灣鄉,其　他,0,0,0,0,0,0,0,0
三灣鄉,合　計,1684,1150812,683,527,312,853,621.97,91.01
南庄鄉,東　村,253,159463,630,518,347,807,436.48,69.25
南庄鄉,西　村,161,99630,619,464,337,784,555.16,89.71
南庄鄉,南江村,270,180103,667,535,336,842,523.78,78.52
南庄鄉,田美村,231,238516,1033,506,298,878,5201.33,503.74
南庄鄉,獅山村,220,135868,618,515,304,774,540.68,87.55
南庄鄉,南富村,278,230197,828,558,350,976,950.32,114.77
南庄鄉,員林村,268,189173,706,510,335,857,623.66,88.35
南庄鄉,蓬萊村,153,101557,664,502,305,782,731.4,110.19
南庄鄉,東河村,189,122003,646,495,326,745,858.09,132.93
南庄鄉,其　他,1,1773,1773,1773,1773,1773,0,0
南庄鄉,合　計,2024,1458282,720,516,326,834,1868.98,259.4
大湖鄉,大湖村,465,319386,687,548,351,876,491.06,71.49
大湖鄉,明湖村,177,128164,724,579,377,906,671.48,92.73
