101年度綜稅所得總額各縣市鄉鎮村里統計分析表-縣市別：高雄市,單位：金額(千元)
鄉鎮市區,村里,納稅單位,綜合所得總額,平均數,中位數,第一分位數,第三分位數,標準差,變異係數
三民區,灣利里,933,658679,706,545,336,909,568.59,80.54
三民區,達明里,521,452259,868,574,323,1054,981.35,113.05
三民區,達勇里,332,330168,994,666,346,1213,1126.36,113.26
三民區,達仁里,514,467426,909,625,336,1225,904.25,99.43
三民區,灣愛里,745,517481,695,549,340,830,752.31,108.31
三民區,安和里,838,743338,887,587,334,987,1471.54,165.89
三民區,德智里,735,669704,911,614,349,1166,974.69,106.97
三民區,寶興里,2088,1870340,896,614,358,1054,2202.46,245.88
三民區,安康里,608,370066,609,510,322,782,448.17,73.63
三民區,安寧里,386,248179,643,517,317,759,521.85,81.16
三民區,鼎盛里,2224,1847973,831,633,377,1037,752.49,90.56
三民區,鼎泰里,6838,7618972,1114,793,442,1393,1260.25,113.11
三民區,本武里,482,422715,877,662,376,1070,788.26,89.88
三民區,本文里,657,521560,794,569,330,940,1288.43,162.3
三民區,寶盛里,1699,1534541,903,664,373,1141,837.1,92.68
三民區,寶華里,1125,1073345,954,694,389,1238,845.58,88.63
三民區,寶民里,1014,910280,898,641,370,1097,869.05,96.81
三民區,寶中里,940,732817,780,555,340,941,749.75,96.17
三民區,寶玉里,2526,2267894,898,659,376,1164,1200.84,133.75
三民區,灣成里,637,508073,798,622,349,1013,690.1,86.52
三民區,安吉里,1465,1336213,912,625,355,1117,1405.99,154.15
三民區,安泰里,1271,1126607,886,621,350,1122,918.87,103.66
三民區,德仁里,659,746519,1133,644,375,1084,5616.96,495.84
三民區,寶國里,2464,2366169,960,700,390,1220,1116.73,116.29
三民區,正順里,1134,997190,879,626,339,1120,840.51,95.58
三民區,安發里,1491,1401751,940,606,338,1134,1235.01,131.36
三民區,鼎中里,1082,901513,833,596,356,1025,955.14,114.64
三民區,寶業里,1587,1490491,939,665,365,1198,899.1,95.73
三民區,寶慶里,890,699580,786,579,338,1021,679.02,86.38
三民區,寶德里,1562,1300353,832,596,363,1033,783.21,94.08
三民區,寶泰里,1186,1032447,871,594,342,1091,852.05,97.88
